feature,category,gain_mean,gain_std,gain_norm_mean,weight_mean,cover_mean,pct_years_active,mean_rank,std_rank
rmax5_21d,Other,14.300759356597375,7.488213146901719,0.016530018730555627,51.4712643678161,289811.4589619253,0.725,5.551724137931035,6.395233754783722
ebit_mev,Value,12.220833729704221,9.259627549616713,0.016967385787630553,8.95,186361.96044921875,1.0,14.575,25.97917065058675
ebitda_mev,Quality,11.878274740775426,6.800767537500967,0.015108094925398169,9.608333333333333,178975.0795578003,1.0,12.175,38.295000343152516
ocf_me,Value,10.253549079100292,9.210219285576878,0.012471268861966365,9.0,199404.44408365886,1.0,17.1,22.384518459566348
fcf_ppen,Other,10.14409674803416,13.032751503770797,0.012658386290705157,10.241666666666667,154225.6604817708,1.0,27.65,30.382645181174208
rmax1_21d,Other,8.799600268232412,5.633949554452422,0.010118996600588013,13.494252873563218,148098.9767420977,0.725,15.724137931034482,13.737062879368509
ebit_me,Other,8.743470146258671,4.869535187346606,0.012648838633312107,18.025,194482.12649739583,1.0,11.3,7.335197898157092
ocf_mev,Value,8.294987739125888,5.7990807034208895,0.010413570063066004,8.108333333333333,135918.85344238282,1.0,23.625,32.96671787089953
mispricing_perf,Other,7.564133379856746,3.678965587143265,0.009808125514065399,19.025,168390.60838216144,1.0,13.425,9.922488056468966
prc_low,Momentum,6.986388694246609,4.649344760207222,0.010624720631305411,18.241666666666667,182193.47228190105,1.0,39.025,42.55403051205035
ni_me,Value,6.827206296722094,4.412498411091241,0.009887028718048151,13.558333333333334,154754.41705729166,1.0,21.275,16.04798493620992
ret_12_1,Momentum,6.709012899796169,3.217476986838828,0.008779139821281232,41.61666666666667,159759.03255615235,1.0,15.35,12.528019877509854
ivol_capm_21d,Risk,6.677518915856021,3.5396680799303657,0.00792835616294262,24.379310344827587,133067.87987158765,0.725,20.586206896551722,14.467987423913602
ebitda_me,Quality,6.605508894224961,4.855073164244433,0.008515267300488908,12.233333333333333,138020.48935750325,1.0,30.675,38.67046013664031
cop_mev,Quality,6.309994075695673,2.973578884950459,0.008152426622189228,20.275,157346.08904215496,1.0,17.35,16.56773199897148
rvol_21d,Other,6.282502774534555,3.1370893601977734,0.007349962172521283,26.52873563218391,142460.898123204,0.725,21.24137931034483,14.26197535009437
cop_me,Quality,5.923192591468493,3.552751877252347,0.00767114813675108,12.15,123493.15137532551,1.0,18.175,11.290766592947099
ret_1_0,Momentum,5.637156357367834,1.8823681402644605,0.007711585496726225,79.50833333333333,145545.53639322918,1.0,15.5,6.080654485691402
fcf_me,Value,5.5322710707783695,7.216467731086876,0.006514934813919809,6.725,121233.1654094696,1.0,78.675,74.74516964068906
ret_12_7,Momentum,5.5145469496647515,2.1720685899769454,0.007576994112653113,39.74166666666667,229982.97556152343,1.0,23.075,20.30585048951568
ret,Momentum,5.359724817673365,1.5854054568656388,0.007357282169884077,81.10833333333332,152699.58217773438,1.0,16.4,5.719063936317928
fcf_mev,Value,5.281345349550247,4.677853398466103,0.006330428891020879,8.0,124719.91222623189,1.0,80.825,93.53701790173083
prc_highprc_252d,Momentum,4.906642883673482,2.0931034621810936,0.00580397978720238,53.49425287356321,135367.1255387931,0.725,26.344827586206897,7.2322485244363515
niq_at,Quality,4.47708193163077,3.1337500008829764,0.005713286329392215,24.858333333333334,222563.05538736976,1.0,38.875,24.432206046685437
at_mev,Size,4.454731845855713,1.590170631474135,0.006172210617933337,18.175,108869.21103515624,1.0,31.075,24.870317495112367
niq_be,Quality,4.365466141700745,1.4385178043751818,0.005999639330971458,36.06666666666667,242158.83232421876,1.0,27.3,9.738109119884067
ocf_at,Other,4.354181635379791,3.6237628821015058,0.005846170823972205,4.141666666666667,58600.24008789063,1.0,99.775,107.50372384724932
sale_mev,Value,4.162003966172536,1.6993294118689954,0.0056056234256164775,15.391666666666666,90446.81868489584,1.0,29.475,11.091663536187887
aliq_mat,Other,4.0570038344178885,1.8043396180828108,0.0047076535632261576,10.880952380952381,72470.72331310454,0.7,60.714285714285715,68.47430290795342
fcf_sale,Other,4.018941768010458,1.9350634346229212,0.00560422678323964,7.2666666666666675,85389.64825032552,1.0,45.55,37.46926945973399
ret_9_1,Momentum,3.992489345868429,1.7278433751496256,0.0052616891164452674,31.09166666666667,123981.22759602864,1.0,34.3,12.312595177297109
nix_me,Other,3.9602787117163336,1.998720133736238,0.005679194139024413,10.875,112846.41593297322,1.0,44.075,27.69003106738634
cop_at,Quality,3.8431983480850853,2.2194993510404775,0.0050692450411490625,10.35,127460.93869222005,1.0,55.675,45.226148268225174
ocf_sale,Other,3.7835551500320435,2.1447324764437954,0.005189366779026535,5.25,66592.58780619303,1.0,57.65,64.19144043905719
fincf_at,Other,3.6862102737029394,2.090859355612265,0.00465371608822015,7.066666666666667,150868.62779744464,1.0,74.85,74.07811192698331
ret_2_0,Momentum,3.6602780212958654,1.5262915135783375,0.00486476419655556,94.2,170705.60450846356,1.0,38.425,11.597717503114621
noa_gr1a,Accruals,3.609373570481936,1.5664299313859567,0.004854709127723417,10.45,158691.34716186524,1.0,45.9,22.789786286280943
sale_me,Value,3.5982527673244475,1.592894020113328,0.004740451502577985,12.733333333333333,95756.02549641927,1.0,56.8,49.9405800773433
be_me,Value,3.5887542208035788,1.0601377387926247,0.00491055945142007,32.19166666666667,201062.3048828125,1.0,35.875,8.823591628739921
ocfq_saleq_std,Other,3.4989862607585063,2.171408987345355,0.004039334398801934,7.277777777777779,41386.588623046875,0.3,71.5,44.61043497984422
eq_dur,Other,3.4327409833669664,1.3039406050589393,0.004766591589649868,11.1,93964.09711914063,1.0,50.6,34.704466571321916
ret_6_1,Momentum,3.3495983292659126,1.20212833210026,0.004663003449344575,38.483333333333334,133956.59529622394,1.0,50.675,27.56194654656847
zero_trades_126d,Other,3.3136242519725454,1.0251046289198635,0.0041535324993515,44.98989898989899,154895.7724905303,0.825,49.93939393939394,10.207042280759502
gp_me,Quality,3.3073187867800393,0.9991617888566358,0.004569570665850665,19.041666666666664,201595.639453125,1.0,48.1,20.278572751071824
at_me,Size,3.21109581887722,1.2789994395361866,0.004270291005766123,11.066666666666666,122163.05052083332,1.0,58.025,29.19825029882476
bev_mev,Other,3.208334298928579,1.2052251472805777,0.00425622222315835,15.925,174946.00496215821,1.0,54.675,26.44334776509284
ret_12_0,Momentum,3.191934834917386,1.56234317623366,0.0042543647021141846,14.533333333333335,56095.8368733724,1.0,60.45,28.14518221741125
ivol_capm_60m,Risk,3.1858771569801103,0.8871900270771504,0.003577860470680291,23.10606060606061,196688.77858664774,0.55,71.86363636363636,19.114430984506757
sales,Other,3.1658098538716635,0.9901094546853227,0.0042849103601958274,7.966666666666667,58222.1585550944,1.0,58.525,40.546261960560045
prc_high,Momentum,3.1531478064691916,1.7232441137909345,0.004726297300105487,7.256410256410256,76382.83986044338,0.975,87.76923076923077,76.49990076996025
gp_mev,Quality,3.1527361045281093,0.8978923000941518,0.0043870005896185305,14.841666666666665,141810.55475260416,1.0,52.3,20.30435092946009
zero_trades_21d,Other,3.149911748427971,0.9184043585308687,0.004039562852918129,72.80392156862746,209895.6686963848,0.85,55.705882352941174,16.417893807570103
zero_trades_252d,Other,3.130692017575105,0.931123686678049,0.003903898251186878,49.552083333333336,168777.25546264648,0.8,57.46875,10.969119043051961
cop_bev,Quality,3.1000944703817366,1.2710692330921494,0.00428058082659267,11.241666666666667,117211.72642962138,1.0,65.8,35.56301737940982
dolvol_126d,Momentum,3.096420525300382,0.8333885622684263,0.003908112780880088,25.62626262626263,100719.36390269887,0.825,56.484848484848484,11.992500813323955
bidaskhl_21d,Other,3.0546528858443103,0.8993588846836635,0.0038099619269385656,28.489583333333332,130270.88773600261,0.8,64.8125,28.390636234618825
rvol_252d,Other,3.053031637750823,1.0516962048376033,0.0036711467947332203,15.10344827586207,85140.41810344828,0.725,73.06896551724138,34.52217820731102
ocf_cl,Other,3.0063587197086266,1.8931317954982438,0.0041836195493736815,5.447368421052632,58646.5850252185,0.95,105.71052631578948,93.06083679863109
ope_me,Other,2.9809063692887623,1.4632855286380162,0.0041568854540789905,5.916666666666666,59344.78383483887,1.0,85.425,67.61121417376916
ivol_capm_252d,Risk,2.9700013179888667,1.2599349567162426,0.0035399108080024035,14.03448275862069,103556.49843974496,0.725,79.72413793103448,29.246363084913327
dolvol,Momentum,2.9428154081106186,0.964338357513834,0.003929784787013307,30.48333333333333,144915.59021606445,1.0,64.525,30.43613532190533
rvolhl_21d,Other,2.927777837961912,0.8228098342989791,0.0036800303806456907,52.916666666666664,209459.6966145833,0.8,66.0625,16.77736089823657
rmax5_rvol_21d,Other,2.8958283957139943,1.0845381115016717,0.003396340915156115,31.271604938271608,242707.75245949073,0.675,84.66666666666667,23.507772855278837
mispricing_mgmt,Other,2.885954911013444,1.4267991675872462,0.0037658841007853624,8.716666666666667,121847.10064493815,1.0,84.375,54.26510778646738
be_mev,Value,2.8793056269486743,0.7084329125266353,0.003966756619687362,12.433333333333334,109189.79395751953,1.0,61.25,25.033055070323446
turnover_126d,Momentum,2.8563361974677655,0.7155888428397896,0.003603647824410918,31.111111111111114,119753.82871685606,0.825,69.48484848484848,12.857685474360299
eqnpo_at,Other,2.8466880222161612,1.5972623340809422,0.003743688960165568,5.991666666666666,52611.237327702846,1.0,88.475,48.34543836037077
net_income,Other,2.8450297911961875,5.4970845174376315,0.004121921352052336,7.7606837606837615,68698.72230568911,0.975,136.4102564102564,46.23550580777662
ppeinv_gr1a,Other,2.8346579651037853,1.1493289466980678,0.003916910341986508,6.708333333333333,54890.503100585935,1.0,85.55,48.06243268809264
fincf_mev,Other,2.814915728569031,1.7492747177365695,0.0035707591788413677,4.491666666666666,65748.69492359161,1.0,122.55,84.49698826373057
roeq_be_std,Quality,2.801728677749634,0.19983985422131245,0.00340220514581034,11.4,103604.51067708332,0.125,60.2,8.46758525200662
ret_3_1,Momentum,2.7773584475119906,0.6264531503805741,0.0039299208233137695,34.81666666666667,126605.8090657552,1.0,69.225,31.628036491500584
seas_1_1an,Other,2.7285827080408733,0.9306383850802695,0.0037543500370558146,29.05,203483.6237467448,1.0,81.025,43.15772355632423
eqnetis_at,Other,2.7271622220675154,1.5539003324465188,0.003507382780105533,5.05,64455.66852416992,1.0,112.575,68.24611851459167
ret_9_0,Momentum,2.6991811533768972,0.9787886747085234,0.0036111625792844,21.975,88862.51527506512,1.0,77.4,22.862801497360124
ret_6_0,Momentum,2.6951425661643347,1.0129547781516277,0.003715747590808227,25.65,67347.08364257813,1.0,80.85,31.613491115547824
ret_36_12,Momentum,2.681234409014384,1.4021844147807956,0.003051880963048412,13.786666666666667,110692.860625,0.625,135.48,59.78929670099826
be_gr3,Value,2.6647262175877886,0.9957015166209858,0.00293802867899934,6.95,107895.5736328125,0.5,129.0,56.82382747071031
