eom,ic_spearman,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1986-01-31,0.07923428409641399,0.057181805180568715,0.04357131593696682,0.013610489243601892,0.011610489243601892,1.0,211,211,2115
1986-02-28,0.13242903914136986,0.036558657643867926,0.01817523037783019,0.018383427266037734,0.01739757820943396,0.49292452830188677,212,212,2122
1986-03-31,0.016235761913988532,0.006308360478899082,-0.0004718420018348606,0.006780202480733942,0.0057251566091743086,0.5275229357798166,218,218,2182
1986-04-30,0.12561146437024498,0.05089681863242009,0.014012018905936074,0.03688479972648402,0.03571584995479452,0.5844748858447488,219,219,2195
1986-05-31,0.1604487074525364,0.01612669190818182,-0.021929313925909088,0.03805600583409091,0.036987824015909096,0.5340909090909092,220,220,2205
1986-06-30,0.14507437320377303,-0.052483102410714286,-0.10558979116651786,0.05310668875580357,0.05204418875580357,0.53125,224,224,2248
1986-07-31,0.10351512662472687,0.06739090708878924,0.019878961555605385,0.04751194553318386,0.04636844777533632,0.5717488789237668,223,223,2237
1986-08-31,0.0657502675425504,-0.050387962111659204,-0.06306214749147981,0.01267418537982061,0.011445485828251103,0.6143497757847534,223,223,2233
1986-09-30,0.1623740354656573,0.04929051376607142,0.014713566425892858,0.03457694734017856,0.033429625911607135,0.5736607142857143,224,224,2245
1986-10-31,0.0715477345428259,-0.006624843751555555,-0.014217828117333336,0.007592984365777781,0.006366317699111114,0.6133333333333333,225,225,2253
1986-11-30,0.0966948708913024,-0.023188857779111113,-0.059515912263555557,0.03632705448444444,0.03530038781777777,0.5133333333333333,225,225,2256
1986-12-31,-0.07921559269993302,0.0946585908048458,0.11753488036872246,-0.02287628956387666,-0.023942368859030845,0.5330396475770925,227,227,2279
1987-01-31,-0.09633655591282093,0.04354641602121212,0.09452209917489177,-0.050975683153679646,-0.05217048834848484,0.5974025974025974,231,231,2319
1987-02-28,0.026939280348653446,0.01212458264680851,0.024016836818297877,-0.011892254171489368,-0.012875232894893623,0.4914893617021277,235,235,2350
1987-03-31,-0.018277194752549093,-0.040497872206639,-0.029473769389626557,-0.011024102817012445,-0.012040700327385889,0.508298755186722,241,241,2417
1987-04-30,-0.03874356644475003,-0.0041820706739045645,0.000319114304564315,-0.00450118497846888,-0.005609068795896266,0.553941908713693,241,241,2419
1987-05-31,0.1271580323695252,0.043587902706611566,0.015219731399999997,0.028368171306611567,0.027351642380991734,0.5082644628099173,242,242,2428
1987-06-30,-0.0354919744730551,0.020680866945714287,0.030088353186530616,-0.009407486240816328,-0.01050952705714286,0.5510204081632653,245,245,2459
1987-07-31,0.16851476245378014,0.04377205932971888,-0.0038620111550200804,0.04763407048473896,0.046489492171485944,0.572289156626506,249,249,2491
1987-08-31,0.049296430863969516,-0.015457766282,-0.0311336114876,0.015675845205600003,0.014603845205600003,0.536,250,250,2505
1987-09-30,0.3318530574081392,-0.17789942888853755,-0.3236721568960474,0.14577272800750984,0.14476087029999996,0.5059288537549407,253,253,2533
1987-10-31,0.09950950316044326,-0.02447529283432203,-0.07212354008940677,0.04764824725508474,0.046228755729661015,0.7097457627118644,236,236,2368
1987-11-30,0.10786136508036048,0.08432619328103448,0.02208827127413793,0.062237922006896554,0.06095774959310345,0.6400862068965517,232,232,2321
1987-12-31,0.2520301037203171,0.09643812727763715,0.013714077652742615,0.08272404962489453,0.0813696192451477,0.6772151898734178,237,237,2372
1988-01-31,0.015114492836915391,0.06335112176625,0.05009594017791666,0.013255181588333345,0.011992681588333345,0.63125,240,240,2403
1988-02-29,-0.08094073322187935,0.013258805177366256,0.03789075311481482,-0.02463194793744856,-0.025771865632921814,0.5699588477366255,243,243,2432
1988-03-31,0.008294188399019409,0.006747444715384615,-0.006754645193522268,0.013502089908906882,0.012518284240890687,0.4919028340080972,247,247,2474
1988-04-30,0.09619650050389257,0.0006749987443089438,-0.029749108376422768,0.03042410712073171,0.029383456714227648,0.5203252032520325,246,246,2466
1988-05-31,0.07546782527862242,0.06621799728414635,0.04983016154390244,0.016387835740243904,0.015383770699593497,0.5020325203252032,246,246,2462
1988-06-30,0.1527411012618481,-0.008230134427710844,-0.02848876542088354,0.020258630993172697,0.019158229386746994,0.5502008032128514,249,249,2498
1988-07-31,0.10956889501794877,-0.006683249982730923,-0.03743533886666667,0.030752088883935744,0.02971996036987952,0.5160642570281124,249,249,2494
1988-08-31,0.14370016424902624,0.029249974946963568,0.0037060237016194315,0.025543951245344136,0.024588485658299603,0.4777327935222672,247,247,2471
1988-09-30,0.14952500153983103,0.007527940128,-0.0329259421736,0.040453882301600005,0.03950588230160001,0.474,250,250,2501
1988-10-31,0.09392643414499453,-0.025428666492741933,-0.050532816683870975,0.025104150191129042,0.024031569545967753,0.5362903225806451,248,248,2489
